Sep=,
iShares Ibovespa Fundo de Índice
Fund Holdings as of,"20 mai 2021"
Inception Date,"28 nov 2008"
Total Net Assets ($000s),"13.593.294.302,58"
,"115.150.000,00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"VVAR3","VIA VAREJO SA","0,84","11,91","9.625.900","114.644.469","114.644.469,00","Consumo discricionário","B7VY430","BRVVARACNOR1","XBSP","Brasil","BRL","1,00"
"HAPV3","HAPVIDA PARTICIPACOES E INVESTIMEN","0,84","14,91","7.633.449","113.814.725","113.814.724,59","Cuidados de saúde","BF4J7N9","BRHAPVACNOR4","XBSP","Brasil","BRL","1,00"
"BRFS3","BRF BRASIL FOODS SA","0,83","23,16","4.897.430","113.424.479","113.424.478,80","Bens de primeira necessidade","2036995","BRBRFSACNOR8","XBSP","Brasil","BRL","1,00"
"LAME4","LOJAS AMERICANAS PN REP1 PREF SA","0,71","18,82","5.110.073","96.171.574","96.171.573,86","Consumo discricionário","2516710","BRLAMEACNPR6","XBSP","Brasil","BRL","1,00"
"BBSE3","BB SEGURIDADE SA","0,70","23,63","4.051.751","95.742.876","95.742.876,13","Produtos financeiros","B9N3SQ0","BRBBSEACNOR5","XBSP","Brasil","BRL","1,00"
"BRAP4","BRADESPAR PREF SA","0,70","70,62","1.342.996","94.842.378","94.842.377,52","Materiais","B01SCS4","BRBRAPACNPR2","XBSP","Brasil","BRL","1,00"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","0,68","13,68","6.731.094","92.081.366","92.081.365,92","Bens Industriais","2840970","BRCCROACNOR2","XBSP","Brasil","BRL","1,00"
"TOTS3","TOTVS SA","0,68","31,76","2.897.293","92.018.026","92.018.025,68","Tecnologia de informação","B10LQP6","BRTOTSACNOR8","XBSP","Brasil","BRL","1,00"
"ELET3","CENTRAIS ELETR BRAS-ELETROBRAS","0,66","41,70","2.159.902","90.067.913","90.067.913,40","Serviços públicos","2311120","BRELETACNOR6","XBSP","Brasil","BRL","1,00"
"HYPE3","HYPERMARCAS SA","0,64","35,39","2.474.449","87.570.750","87.570.750,11","Cuidados de saúde","B2QY968","BRHYPEACNOR0","XBSP","Brasil","BRL","1,00"
"SANB11","BANCO SANTANDER BRASIL UNITS SA","0,64","40,81","2.145.588","87.561.446","87.561.446,28","Produtos financeiros","B4V5RY4","BRSANBCDAM13","XBSP","Brasil","BRL","1,00"
"BIDI11","BANCO INTER UNT SA","0,64","184,40","473.257","87.268.591","87.268.590,80","Produtos financeiros","BK8XXW3","BRBIDICDAXX3","XBSP","Brasil","BRL","1,00"
"PRIO3","PETRO RIO SA","0,64","17,73","4.870.033","86.345.685","86.345.685,09","Energia","BYY0144","BRPRIOACNOR1","XBSP","Brasil","BRL","1,00"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","0,63","41,56","2.051.207","85.248.163","85.248.162,92","Serviços públicos","B1YCHL8","BRSBSPACNOR5","XBSP","Brasil","BRL","1,00"
"CMIG4","CIA ENERGETICA DE MINAS GERAIS PRE","0,63","13,06","6.523.086","85.191.503","85.191.503,16","Serviços públicos","B1YBRG0","BRCMIGACNPR3","XBSP","Brasil","BRL","1,00"
"BRKM5","BRASKEM PREF SERIES A SA","0,59","49,98","1.596.595","79.797.818","79.797.818,10","Materiais","B0774N4","BRBRKMACNPA4","XBSP","Brasil","BRL","1,00"
"AZUL4","AZUL PREF SA","0,58","40,21","1.974.400","79.390.624","79.390.624,00","Bens Industriais","BD97PR4","BRAZULACNPR4","XBSP","Brasil","BRL","1,00"
"EMBR3","EMBRAER SA","0,53","16,15","4.440.820","71.719.243","71.719.243,00","Bens Industriais","B16FPG6","BREMBRACNOR4","XBSP","Brasil","BRL","1,00"
"ENGI11","ENERGISA UNITS SA","0,51","45,92","1.511.912","69.426.999","69.426.999,04","Serviços públicos","B56XQT8","BRENGICDAM16","XBSP","Brasil","BRL","1,00"
"BTOW3","B2W COMPANHIA DIGITAL","0,51","56,80","1.217.296","69.142.413","69.142.412,80","Consumo discricionário","B1LH3Y1","BRBTOWACNOR8","XBSP","Brasil","BRL","1,00"
"GOAU4","METALURGICA GERDAU PREF SA","0,47","15,14","4.184.332","63.350.786","63.350.786,48","Materiais","2648862","BRGOAUACNPR8","XBSP","Brasil","BRL","1,00"
"USIM5","USINAS SIDERURGICAS DE MINAS GERAI","0,46","20,28","3.099.442","62.856.684","62.856.683,76","Materiais","2386009","BRUSIMACNPA6","XBSP","Brasil","BRL","1,00"
"EGIE3","ENGIE BRASIL ENERGIA SA","0,45","40,16","1.536.517","61.706.523","61.706.522,72","Serviços públicos","BD1WX84","BREGIEACNOR9","XBSP","Brasil","BRL","1,00"
"LWSA3","LOCAWEB SERVICOS DE INTERNET SA","0,44","23,43","2.578.889","60.423.369","60.423.369,27","Tecnologia de informação","BL3W4C9","BRLWSAACNOR8","XBSP","Brasil","BRL","1,00"
"ELET6","CENTRAIS ELETR BRAS-ELETROBRAS SER","0,44","41,13","1.465.073","60.258.452","60.258.452,49","Serviços públicos","2308445","BRELETACNPB7","XBSP","Brasil","BRL","1,00"
